MUNICIPIO,UF
Curitiba,PR
Macapá,AP
São Bernardo do Campo,SP
Juiz de Fora,MG
Osório,RS
Campos Gerais,MG
Venda Nova do Imigrante,ES
São José dos Campos,SP
Bom Sucesso,MG
Cerquilho,SP
Montes Claros,MG
Ibicaraí,BA
Jacareí,SP
Itapeva,SP
Vitória,ES
Belém,PA
Fortaleza,CE
Uruaçu,GO
Guaraí,TO
Garanhuns,PE
Belo Horizonte,MG
Santa Cruz do Sul,RS
Paracambi,RJ
Itápolis,SP
Bauru,SP
São Manuel,SP
Jundiaí,SP
Curvelo,MG
Goiânia,GO
Natal,RN
Cariacica,ES
Canoas,RS
Joinville,SC
Formosa,GO
Diadema,SP
Tobias Barreto,SE
Chapecó,SC
Lagarto,SE
Caçapava,SP
Manaus,AM
Niterói,RJ
Icó,CE
Colinas do Tocantins,TO
Santa Fé do Sul,SP
Florianópolis,SC
Presidente Epitácio,SP
Santa Rita do Sapucaí,MG
Cascavel,PR
Cuiabá,MT
Itacoatiara,AM
Jacarezinho,PR
Afonso Cláudio,ES
Salvador,BA
Brasília,DF
Varginha,MG
Mariana,MG
Teresina,PI
Boa Vista,RR
Janaúba,MG
Rio de Janeiro,RJ
São Luís,MA
Campo Mourão,PR
Palotina,PR
Itabuna,BA
Martinópolis,SP
São Paulo,SP
Barretos,SP
Carpina,PE
Catalão,GO
Salinas,MG
Itabira,MG
Franca,SP
Itaperuna,RJ
Mococa,SP
Ipatinga,MG
Criciúma,SC
Ampére,PR
Palmas,TO
Nova Mutum,MT
Passo Fundo,RS
Campina Grande,PB
Porangatu,GO
Recife,PE
Campo Belo,MG
Itabirito,MG
Trindade,GO
João Pessoa,PB
Porto Alegre,RS
Presidente Prudente,SP
Taubaté,SP
Porto Velho,RO
Santarém,PA
Colíder,MT
Osasco,SP
Ribeirão Pires,SP
Farroupilha,RS
Unaí,MG
Tupã,SP
São Félix do Xingu,PA
Rio Branco,AC
Olinda,PE
Tangará da Serra,MT
Bragança,PA
Rondonópolis,MT
Sete Lagoas,MG
Votuporanga,SP
Santa Rita do Passa Quatro,SP
Tianguá,CE
Foz do Iguaçu,PR
Teixeira de Freitas,BA
Catanduva,SP
Boituva,SP
Sobral,CE
Campinas,SP
Erechim,RS
Ponte Nova,MG
Criciúma,SC
Juazeiro do Norte,CE
Extrema,MG
Nova Andradina,MS
Ananindeua,PA
Ponta Grossa,PR
Três Lagoas,MS
Alegre,ES
Maceió,AL
Itaboraí,RJ
São José do Rio Preto,SP
João Pessoa,PB
Maceió,AL
Porto Alegre,RS
Santa Cruz Cabrália,BA
Nazareno,MG
Maringá,PR
Recife,PE
Fátima do Sul,MS
Jataí,GO
Porto Alegre,RS
Caxias do Sul,RS
Tatuí,SP
Itinga do Maranhão,MA
Rondonópolis,MT
Leopoldina,MG
Porteirinha,MG
João Pessoa,PB
Itu,SP
Iúna,ES
Irecê,BA
Santa Terezinha de Goiás,GO
João Pessoa,PB
Osasco,SP
Itaboraí,RJ
Castanhal,PA
Nova Porteirinha,MG
São Vicente,SP
Criciúma,SC
Campinas,SP
Belo Jardim,PE
Barueri,SP
Campos dos Goytacazes,RJ
Adamantina,SP
Santo Ângelo,RS
Catanduvas,SC
Fernandópolis,SP
Capivari de Baixo,SC
Sarandi,RS
Coromandel,MG
Lauro de Freitas,BA
Porto Alegre,RS
Guanhães,MG
Tucuruí,PA
Rio das Ostras,RJ
Campinas,SP
Bom Jesus da Lapa,BA
Marechal Cândido Rondon,PR
Aracaju,SE
Baturité,CE
Conselheiro Lafaiete,MG
Itabirito,MG
Santo Ângelo,RS
Uberlândia,MG
Laranjeiras do Sul,PR
Guarapari,ES
Nova Mutum,MT
Pouso Alegre,MG
Caucaia,CE
Divinópolis,MG
São José da Tapera,AL
Paraíso do Tocantins,TO
Petrópolis,RJ
Feira de Santana,BA
Ijuí,RS
São Mateus,ES
Alagoinhas,BA
Santo André,SP
Itanhaém,SP
São Pedro do Piauí,PI
Brusque,SC
Recife,PE
Porto Alegre,RS
Artur Nogueira,SP
Maringá,PR
Pinheiro,MA
Luís Eduardo Magalhães,BA
Blumenau,SC
Taubaté,SP
Bento Gonçalves,RS
Balneário Camboriú,SC
Rolândia,PR
Juazeiro,BA
Taboão da Serra,SP
São Mateus do Sul,PR
Marília,SP
Alto Boa Vista,MT
Ampére,PR
Dracena,SP
João Pessoa,PB
Cruz Alta,RS
Lagoa dos Patos,MG
Jaboatão dos Guararapes,PE
Piraju,SP
Três Pontas,MG
Londrina,PR
Almenara,MG
João Pessoa,PB
São José,SC
Guanambi,BA
Araraquara,SP
Primavera do Leste,MT
Luís Eduardo Magalhães,BA
Canoinhas,SC
Palmeira dos Índios,AL
Mineiros,GO
Guarulhos,SP
Quixadá,CE
São José do Rio Pardo,SP
Tupã,SP
Barbacena,MG
Abadia dos Dourados,MG
Alvorada,RS
Goiana,PE
Monte Santo,BA
Camaquã,RS
Luminárias,MG
Poté,MG
Rio Branco,AC
Campina Grande,PB
São José dos Quatro Marcos,MT
Juara,MT
Itaquaquecetuba,SP
Ji-Paraná,RO
Campinas,SP
Cataguases,MG
Bento Gonçalves,RS
Recife,PE
Erechim,RS
Brusque,SC
Moji Mirim,SP
Congonhas,MG
Ji-Paraná,RO
Blumenau,SC
Jandira,SP
Rio Verde,GO
Vila Velha,ES
Conselheiro Pena,MG
João Pessoa,PB
Miguel Pereira,RJ
São Mateus do Maranhão,MA
Contagem,MG
Mossoró,RN
Maceió,AL
Contagem,MG
Porto Velho,RO
Pedreiras,MA
Açailândia,MA
Porto Alegre,RS
Recife,PE
Pirassununga,SP
Mauá,SP
Taubaté,SP
São José do Rio Preto,SP
Campo Grande,MS
Cacoal,RO
Passos,MG
São José do Rio Preto,SP
Jaraguá do Sul,SC
Três Rios,RJ
Arapiraca,AL
Quixeramobim,CE
Itajaí,SC
Guarantã do Norte,MT
Campo Grande,MS
Jaboatão dos Guararapes,PE
Sinop,MT
João Pessoa,PB
São Sebastião,SP
Betim,MG
João Pessoa,PB
Cajamar,SP
Maceió,AL
Araguaína,TO
Itapetininga,SP
Buriticupu,MA
Campinas,SP
Contagem,MG
Floriano,PI
Navegantes,SC
Maceió,AL
Anápolis,GO
Campos dos Goytacazes,RJ
Recife,PE
Camocim,CE
União da Vitória,PR
Itambacuri,MG
Nossa Senhora do Socorro,SE
Araguaína,TO
Mossoró,RN
Araguaína,TO
Barreiras,BA
Londrina,PR
Botucatu,SP
Matão,SP
Blumenau,SC
Pinhalzinho,SC
Sete Lagoas,MG
Americana,SP
Santo Augusto,RS
Contagem,MG
Muriaé,MG
São Vicente,SP
Salgueiro,PE
Jacobina,BA
Joaçaba,SC
Maceió,AL
São Bento do Sul,SC
João Pessoa,PB
Peruíbe,SP
Recife,PE
São José do Rio Preto,SP
São José dos Pinhais,PR
Parauapebas,PA
Santarém,PA
Pouso Alegre,MG
Cachoeiro de Itapemirim,ES
Duque de Caxias,RJ
Feira de Santana,BA
Jales,SP
Santo André,SP
Lages,SC
Araras,SP
São Cristóvão,SE
São Raimundo Nonato,PI
Resende,RJ
Votuporanga,SP
Cruz das Almas,BA
Guarulhos,SP
Porto Alegre,RS
Além Paraíba,MG
Vitória da Conquista,BA
Juazeiro do Norte,CE
Jequié,BA
Valinhos,SP
Parnamirim,RN
São Leopoldo,RS
Rio Branco,AC
Brusque,SC
Fazenda Rio Grande,PR
Ubá,MG
Pinheiro,MA
Piratininga,SP
Cruzeiro,SP
São José dos Pinhais,PR
Macaé,RJ
Patos de Minas,MG
Bicas,MG
Vespasiano,MG
Caarapó,MS
Serra Talhada,PE
Santo Antônio de Jesus,BA
Santos,SP
Viçosa,MG
Valparaíso de Goiás,GO
São Carlos,SP
Imperatriz,MA
Araguaína,TO
Trindade,PE
Nova Odessa,SP
Itapevi,SP
Maceió,AL
Porto Alegre,RS
Tefé,AM
Currais Novos,RN
Sete Lagoas,MG
Santo Antônio de Pádua,RJ
Avaré,SP
Santa Luzia,MG
Santana do Ipanema,AL
Cotia,SP
Rondonópolis,MT
Cajazeiras,PB
Porto Velho,RO
Arcoverde,PE
Tatuí,SP
Itumbiara,GO
